Mouse gene name	Gene name
	KIR2DL4
	U6
	FCAR
	AC010329.3
	AC010329.4
	ZNF66
	NCR1
	KIR2DL3
	KIR2DP1
	BNIP3P24
	KIR2DL3
	AC008463.2
	AC008463.1
	KIR2DL1
	KIR2DP1
	KIR2DL1
	ZNF85
	KIR3DP1
	KIR3DL1
	KIR2DL4
	KIR3DP1
	KIR2DL4
	NCR1
	AC008739.2
	KRT18P40
	AC008739.7
	ZNF430
	KIR3DL1
	NCR1
	KIR3DL1
	U6
	KIR2DS4
	KIR3DL2
	LILRP1
	AC245128.59
	LILRP2
	KIR2DS4
	KIR3DL3
	KIR3DL2
	KIR2DS4
	GU182347.5
	GU182347.8
	KIR3DL2
	GU182347.13
	GU182347.9
	KIR2DP1
	U6
	KIR2DL1
	KIR3DP1
	KIR2DL4
	RNU6-222P
	U6
	FCAR
	GU182347.2
	Metazoa_SRP
	GEMIN2P1
	Metazoa_SRP
	AC217323.2
	Y_RNA
	SBNO2
	INTS3
	NCR1
	GU182347.6
	GU182347.11
	GU182347.3
	KIR3DL2
	TRAPPC12
	KRTAP9-2
	KRTAP9-3
	AC209539.4
	KRTAP9-4
	KRTAP9-9
	AC216281.1
	AC114810.2
	AC209539.5
	KRTAP9-10P
	U6
	ADI1
	KRTAP29-1
	AL513523.7
	AL513523.8
	AL513523.9
	SLC27A3
	Y_RNA
	AL513523.6
	GATAD2B
	AC236756.1
	ARHGEF26-AS1
	AL513523.5
	ARHGEF26
	AC007325.3
	AC007325.1
Dgcr6	AC007325.4
Prodh	AC007325.2
	DHX36
	RNU6-1266P
	IMPDH1P5
	AL450306.2
	DLG5
	DNAH10
	CCDC92
	AC123912.3
	PIWIL1
	MTDHP4
	CCNYL6
	VN1R84P
	ZNF100
	AC208069.1
	BRI3BPP1
	AC092364.5
	AC092364.3
	ZNF43
	AL391421.2
	RN7SL284P
	DLG5-AS1
	AC004231.3
	KRT12
	AC127071.4
	AC217627.1
	KRT20
	AC037482.2
	KRT23
	KRT39
	KRT40
	KRTAP3-3
	KRTAP3-2
	KRTAP3-4P
	KRTAP3-1
	KRTAP1-5
	KRTAP1-4
	KRTAP1-3
	KRTAP1-1
	KRTAP2-1
	AC037482.5
	KRTAP2-3
	KRTAP2-4
	KRTAP2-5P
	AC037482.6
	KRTAP4-8
	KRTAP4-16
	KRTAP4-9
	KRTAP4-11
	KRTAP4-12
	AL592188.2
	RNA5-8SN5
	AL592188.1
	5_8S_rRNA
	AC073135.6
	PRB1
	RNU6-821P
	AC240720.1
	AC240720.2
	AC240720.3
	AC073135.4
	AC073135.5
	U6
	AC073135.3
	LILRP1
	AC073135.2
	AC245128.12
	LILRP2
	KIR3DL3
	GU182353.6
	KIR3DL3
	KIR2DL3
	KIR2DP1
	KIR2DL1
	GU182353.3
	GU182353.7
	KIR3DP1
	CES5AP1
	KIR2DL4
	KRTAP9-12P
	KRTAP9-2
	KRTAP9-4
	KRTAP9-9
	KRTAP9-6
	KRTAP9-11P
	KRTAP9-7
	ZDHHC8P1
	KRTAP9-10P
	KRTAP29-1
	GU182353.2
	AP000344.2
	LINC01659
	KIR2DL4
	AP000344.6
	FAM230I
	LINC02557
	KIR3DL1
	AC110597.3
	AC110597.2
	KIR3DL1
	DSEL
	AC110597.5
	OR9G1
	OR9G9
	AC110597.4
	AP001803.7
	OR9G3P
	OR9G4
	OR9G2P
	OR5G1P
	OR5G4P
	OR5G5P
	OR5G3
	LINC02735
	KIR2DS4
	KIR3DL2
	KIR2DS4
	KIR3DL2
	U6
	AC100797.3
	ERICH1
	DLGAP2
	AC100797.2
	LILRP1
	AC245128.42
	LILRP2
	KIR3DL3
	AC068473.6
	AC215996.1
	GU182355.7
	AC068473.9
	AC068473.8
	GU182355.10
	GU182355.9
	CTDP1
	KIR2DL4
	Y_RNA
	AC011043.1
	AC011043.2
	AC068473.7
	AC208322.1
	GU182355.6
	GU182355.5
	GU182355.3
	GU182355.2
	KIR3DL2
	AC106795.6
	AC106795.4
	U6
	AC106795.7
	AC106795.9
	AC236592.1
	SUDS3P1
	PROP1
	SNTG2
	AC108489.1
	AL022318.3
	AC192820.1
	APOBEC3A
	TPO
	APOBEC3B-AS1
	AP2A2
	SEPTIN9-DT
	AC068594.2
	RNU6-1025P
	SEPTIN9
	MUC6
	ARMC4P1
	U6
	AC106795.8
	AL355493.3
	U6
	FAM210CP
	TRIAP1P1
	AC114936.2
	PTCHD3
	AC114936.4
	AC114936.3
	NOSTRIN
	AC114936.5
	SUDS3P1
	PROP1
	SPC25
	AC093689.2
	G6PC2
	ABCB11
	AL121956.4
	AL121956.3
	GNG5P1
	AC233714.1
	KCNQ2
	AL353658.2
	KCNQ2-AS1
	CYFIP1
	RPL21P36
	CRIM1-DT
	CRIM1
	ADAMTS12
	U6
	RXFP3
	SLC45A2
	TUBGCP5
	GU182352.8
	KIR3DL3
	TBCD
	AF250324.6
	RNU1-51P
	FRG1-DT
	LINC01596
	FTCD
	TUBGCP5
	SLC25A51P1
	KIR2DL3
	ADH5P4
	GXYLT1P1
	GU182352.5
	CNN2P12
	KIR2DL1
	ZNF965P
	CYP4F34P
	SNX18P26
	LINC00328-2P
	ANKRD20A9P
	RNU6-55P
	U6
	ELMO2P1
	GU182352.9
	AC136687.2
	AC136687.3
	KIR2DL4
	SPATA31E3P
	GOLGA8EP
	PTDSS2
	AC105227.4
	AC105227.3
	GOLGA6L1
	RNA5SP458
	SKA1
	Metazoa_SRP
	AC136687.1
	AC245690.1
	GOLGA6L22
	AC245690.3
	FTCD-AS1
	CDH12P2
	IFNGR2
	SPATC1L
	AC116165.12
	SERF1B
	LSM14A
	AF067845.6
	RNH1
	GOLGA8DP
	AF067845.3
	AC131901.1
	HERC2P7
	AC131901.2
	HERC2P2
	LINC02066
	DLGAP2
	AADACL2
	AP001468.2
	RPS6P22
	AC068305.3
	LSS
	AC068305.5
	DLGAP2-AS1
	AADACL2-AS1
	GOLGA8IP
	AC013759.1
	MAPK4
	Metazoa_SRP
	Metazoa_SRP
	ABCB10P1
	SMN2
	B3GNTL1
	AC116165.6
	AC116165.10
	AC116165.13
	KIR3DL3
	GARRE1
	TMEM50B
	AC010614.1
	ELMO2P1
	GOLGA6L1
	DUSP8
	GU182352.1
	LINC02549
	AC116165.5
	KRTAP5-AS1
	GOLGA8DP
	UTP4
	AP006285.3
	KCNIP4
	KRTAP5-1
	U1
	AC210756.1
	U1
	KRTAP5-2
	AC213203.2
	AC213203.1
	KRTAP5-3
	AC096576.5
	KRTAP5-4
	AC096576.4
	KRTAP5-5
	Metazoa_SRP
	ABCB10P1
	AP006285.7
	AC116165.8
	FAM99A
	AC116165.7
	FAM99B
	CNTNAP2
	LINC02708
	DUSP8
	PAXBP1
	RPS5P3
	AC207981.3
	KRTAP5-AS1
	DNAJC28
	C21orf62-AS1
	AC127518.4
	KRTAP5-1
	KRTAP5-2
	METRNL
	KRTAP5-3
	U3
	KRTAP5-4
	Metazoa_SRP
	AC083849.3
	AC244635.3
	GART
	AC244635.2
	AC083849.2
	AC023491.2
	AP000280.3
	AC244635.1
	AC023491.1
	C21orf62
	SERF1A
	KRTAP5-5
	AC130310.2
	AC233280.34
	AC137894.1
	FAM99A
	AC233280.13
	HRAS
	GU182352.7
	FAM99B
	MUC20-OT1
	LINC02708
	GU182352.6
	KRTAP5-6
	KIR2DL3
	IFITM10
	U6
	GU182352.12
	SNTB2
	AC145212.1
	MAFIP
	KIR3DL2
	KIR2DP1
	SMN1
	AC024940.6
	Y_RNA
	KIR2DL1
	AC233280.26
	OR2T4
	AC233280.28
	OR2T6
	OR2T1
	AC024940.9
	AC024940.8
	MUC20-OT1
	OR2T7
	MREGP1
	OR2T2
	SINHCAF
	OR2T3
	LRRC56
	AC138089.3
	OR2T5
	OR2AS2P
	DECR2
	LMNTD2
	AC244260.2
	NAIP
	RPL4P5
	AC024940.10
	FLJ13224
	U6
	SMDT1
	NDUFA6
	AC116351.3
	AC116351.4
	LMNTD2-AS1
	NKD2
	SMDT1
	RASSF7
	AL021878.9
	NDUFA6-DT
	NXN
	NDUFA6
	TIMM22
Gm23485	U1
	ABR
	AL451142.1
	AC215799.1
	AL021878.11
	NDUFA6-DT
	OLA1P1
	CYP2D6
	YTHDC1
	MIR210HG
	SLC12A7
	PHRF1
	OLA1P1
	AC208814.1
	CYP2D6
	AL161638.3
	AL161638.4
	AL023881.2
	LINC01624
	RAB11FIP3
	AL078605.2
	GTF2H2
	DLL1
	AC233280.30
	AC233280.19
	AC233280.32
	AC233280.11
	MUC20-OT1
	MUC20-OT1
	FAM120B
	AC236040.4
	AC236040.1
	GU182360.3
	KIR2DL4
	Y_RNA
	AC208188.1
	AC236040.3
	LINC00235
	CAPN15
	SMDT1
	MT2P1
	TMPRSS11E
	NDUFA6
	SDHAP2
	MUC20
	NDUFA6-DT
	OLA1P1
	AL021878.3
	SDHAP2
	CYP2D7
	AC110772.3
	BX247885.3
	BX247885.4
	MUC20
	CYP2D7
	UGT2B29P
	UGT2B15
	MUC4
	AC019173.1
	AC226496.4
	PLCH2
	AL078605.3
	AC226496.2
	MUC4
	AL008628.2
	PSMB1
	UGT2B10
	AC226496.3
	AC226496.7
	KIF26B
	CYP2D8P
	AC226496.10
	AC226496.1
	AC226496.5
	AC226496.9
	TCF20
	AC226496.6
	AC226496.8
	UGT2A3
	AL139246.11
	AL139246.12
	PANK4
	AC021146.16
	AC021146.13
	AC021146.14
	UGT2B27P
	VSTM1
	LINC00824
	AC068570.1
	CYP2D8P
Frg1	AL592183.1
	TCF20
	SDHAP2
	HES5
	AC093789.2
	ICE2P1
	LINC01060
	MUC20
	AL139246.13
	TNFRSF14-AS1
	SDHAP2
	AC233280.33
	AC233280.14
	AC107622.1
	AC233280.8
	MUC20
	Metazoa_SRP
	MUC20-OT1
	TNFRSF14
	MUC4
	TARM1
	IRF7
	OSCAR
	MUC4
	AC244260.1
	AC243922.3
	NDUFA3
	AC243922.2
	AC243922.1
	LINC02197
	TFPT
	AC044810.7
	PTPRN2
	AC245931.2
	OR5P2
	PMCHL2
	AC012314.11
	OR5P3
	OR5E1P
	AC245931.1
	AC044810.2
	VSTM1
	BDP1
	U6
	OR10A6
	OR10A3
	NLRP10
	AC108866.1
	CNOT3
	KIR3DL1
	CDHR5
	AC217785.2
	AC217785.1
	AC217785.4
	MTX1P1
	LENG1
	GBA
	TMC4
	AL139246.9
	AL139246.14
	PRXL2B
	AL513210.3
	MBOAT7
	TARM1
	OSCAR
	VSTM1
	TSEN34
	TMEM179
	RPS9
	MCCC2
	AC093830.1
	SDHAP2
	C14orf180
	VSTM1
	NOP56P1
	BX908720.1
	TDO2
	LINC01623
	MUC20
	KIR2DS4
	RPL13P
	TRIM27
	KIR3DL2
	NDUFA3
	U6
	LINC01556
	TFPT
	BX927359.3
	MUC4
	KRT18P1
	Metazoa_SRP
	HCG15
	MMEL1
	BX927167.6
	ZNF311
	AC012314.12
	SCT
	DRD4
	CTSO
	OR2AD1P
	DEAF1
	OR2W1
	CR547123.3
	OR2P1P
	AC022882.6
	SAR1AP1
	OR8J2
	OR2B3
	OR5T2
	OR2J1
	OR2J3
	OR5T3
	OR5T1
	BX927132.3
	AC138374.2
	FAM189B
	BX927132.1
	OR8H1
	OR2J2
	CNOT3
	TARM1
	OR8I1P
	OR2J4P
	OR8K3
	OSCAR
	BX908738.4
	FAM8A2P
	OR8K2P
	BX908738.1
	OR8K1
	OR2G1P
	RPL5P29
	OR2U1P
	OR2U2P
	OR8J1
	BX908738.2
	OR14J1
	OR8U8
	OR8U9
	DDX6P1
	AC093724.1
	OR8L1P
	OR5V1
	OR12D3
	OR12D2
	TARM1
	OR12D1
	OR11A1
	OSCAR
	TOMM40P4
	CDRT15P3
	OR10C1
	OR2H1
	AL353644.1
	RNA5-8SN4
	NDUFA3
	LENG1
	AL353644.2
	5_8S_rRNA
	TFPT
	FAM66B
	UBDP1
	AF252830.2
	MAS1LP1
	NOP56P1
	TMC4
	AL844539.2
	AF252830.4
	MAS1L
	LINC01623
	ZNF705G
	AC012314.7
	RPL13P
	RPS17P1
	ZNF90P2
	HCG14
	LINC02829
	TRIM27
	LINC01015
	AC093627.11
	DEFB108C
	AC093627.15
	GPR53P
	AC093627.19
	DEFB4B
	NDUFA3
	OR2I1P
	AC093627.17
	AC093627.20
	GABBR1
	U6
	TFPT
	AC011476.12
	HSPD1P3
	DEFB103B
	AC093627.16
	AC012314.13
	MMEL1-AS1
	SPAG11B
	TTC34
	AC093627.21
	AC093627.14
	AC093627.18
	FAM20C
	CNOT3
	VSTM1
	CR854858.2
	SCAMP3
	PRAMEF22
	CR854858.4
	CR854858.3
	HNRNPCL2
	NLRP7
	CR854858.5
	PRAMEF25
	CNOT3
	RPSAP2
	NOP56P1
	U6
	BX119924.4
	LINC01556
	KRT18P1
	LINC01623
	Metazoa_SRP
	HCG15
	RPL13P
	HNRNPCL4
	ZNF90P2
	HCG14
	AL929561.9
	TRIM27
	ZNF311
	PRAMEF9
	DEFB104B
	LENG1
	DEFB106B
	CR854858.1
	TMC4
	PRAMEF18
	NLRP2
	MBOAT7
	OR2AD1P
	OR2W1
	CR936879.3
	DEFB105B
	AC244216.2
	LINC01623
	PRAMEF5
	AL929561.10
	RPL13P
	OR2P1P
	ZNF90P2
	SAR1AP1
	HCG14
	OR2B3
	CLK2
	DEFB107B
	TRIM27
	OR2J1
	OR2J3
	AL929561.2
	AL929561.5
	OR2J2
	GP6
	PRR23D1
	MBOAT7
	OR2J4P
	AC244216.3
	AL935156.3
	U6
	OR2G1P
	PRAMEF8
	FAM90A6P
	OR12D1
	FAM90A7P
	OR5V1
	LENG1
	OR11A1
	FAM90A21P
	FAM90A22P
	PRAMEF33
	FAM90A23P
	OR10C1
	TSEN34
	OR2H1
	TMC4
	OR7E157P
	AC134684.4
	RDH13
	U6
	LINC01556
	OR2AD1P
	U6
	OR2W1
	LINC01556
	KRT18P1
	Metazoa_SRP
	CR933783.3
	HCG15
	OR2P1P
	SAR1AP1
	BX248109.4
	OR2B3
	UBDP1
	RPS9
	ZNF311
	MAS1LP1
	OR2J1
	MAS1L
	RPS17P1
	TARM1
	OR2J3
	LINC02829
	CR759834.2
	OR2J2
	LINC01015
	GPX6
	GPX5
	OR2AD1P
	OR2J4P
	OR2W1
	CR759834.3
	CR933842.1
	GPR53P
	BX248413.4
	OR2I1P
	OR14J1
	OSCAR
	OR2P1P
	VSTM1
	SAR1AP1
	DDX6P1
	OR2B3
	GABBR1
	OR5V1
	OR2J1
	LILRA3
	OR2J3
	OR12D3
	ZBED9
	BX248093.3
	AL645937.1
	TSEN34
	OR2J2
	OR12D2
	OR2J4P
	SLC43A2
	AL645937.3
	DTX2
	BX248084.2
	AL671879.2
	OR12D1
	OR11A1
	HCN3
	OR2G1P
	LINC00533
	OR2U1P
	RPSAP2
	OR2U2P
	NOP56P1
	AL672167.1
	AL669978.3
	OR14J1
	LINC01623
	DDX6P1
	OR10C1
	NOP56P1
	RPL13P
	OR5V1
	CR759954.3
	ZNF90P2
	LINC01623
	HCG14
	OR2H1
	RPL13P
	OR12D3
	TRIM27
	ZNF90P2
	AC118653.2
	HCG14
	MYL6P5
	OR12D2
	TRIM27
	NOP56P1
	OR12D1
	CR753651.4
	OR11A1
	LINC01623
	BTG3
	LILRA5
	RPL13P
Mrpl23	AC004556.3
	Metazoa_SRP
	PKLR
	HCG15
	OR10C1
	CR759835.4
	ZNF311
	UBDP1
Gm27483	AC004556.1
Gm27786	AC004556.4
	MAS1LP1
	OR2H1
	AC004556.2
	MAS1L
	RPS17P1
	LINC02829
	LINC01015
	UPK3B
	MBOAT7
	BTG3-AS1
	GPR53P
	AP000432.4
	OR2I1P
	OR2AD1P
	OR2W1
	AP000432.3
	AC208585.1
	UBDP1
	CR388407.3
	MAS1LP1
	GABBR1
	MAS1L
	OR2P1P
	SAR1AP1
	OR2B3
	RPS17P1
	MRPS36
	LINC02829
	OR2J1
	LINC01015
	RPS9
	OR2J3
	CR388415.1
	GPR53P
	CR388415.3
	SUMO2P1
	OR2J2
	MOG
	OR2J4P
	CR933537.1
	AC226007.1
	CR753509.6
	CDK7
	AC237298.1
	OR2G1P
	SPDYE16
	OR2U1P
	OR2U2P
	CR753509.3
	OR14J1
	LILRA4
	DDX6P1
	OR12D3
	TARM1
	AL662796.1
	OR12D2
	AC004980.5
	OR12D1
	OSCAR
	OR5V1
	OR11A1
	U6
	KIR2DS4
	LINC01556
	KRT18P1
	Metazoa_SRP
	HCG15
	POMZP3
	AL662865.6
	U6
	OR10C1
	HCG15
	ZNF311
	CR759957.4
	ZNF311
	OR2H1
	LAIR1
	OR2AD1P
	OR2AD1P
	OR2W1
	OR2W1
	AL662852.6
	OR2B3
	OR2P1P
	NDUFA3
	SAR1AP1
	UBDP1
	OR2J1
	MAS1LP1
	OR2B3
	OR2J3
	MAS1L
	CR942175.1
	OR2J1
	CR774181.1
	OR2J3
	RPS17P1
	OR2J2
	LINC02829
	AC004980.6
	AL662852.5
	AC004980.7
	AL662852.1
	LINC01015
	CR936918.1
	OR2J2
	OR2U2P
	CR936918.3
	OR2J4P
	OR14J1
	NDUFA3
	AL662857.6
	GPR53P
	AL662857.5
	OR5V1
	OR2I1P
	OR2G1P
	OR2U1P
	OR11A1
	TFPT
	OR2U2P
	AL662857.4
	OR14J1
	OR10C1
	DDX6P1
	OR5V1
	OR12D3
	LILRB3
	OR2H1
	OR12D3
	GABBR1
	OR12D2
	RN7SL105P
	AC012314.3
	OR12D1
	SCARF1
	OR11A1
	UBDP1
	MAS1LP1
	MAS1L
	OR10C1
	TSEN34
	KIR3DL2
	RPS17P1
	LINC02829
	LINC01015
	OR2H1
	GPR53P
	OR2I1P
	TFPT
	CNOT3
	GABBR1
	UBDP1
	MAS1LP1
	MAS1L
	AC243960.14
	RPS17P1
	LINC02829
	AC243960.8
	PLEKHA3P1
	LINC01015
	AC236970.2
	LINC01480
	GPR53P
	OR2I1P
	UBD
	CEACAM21
	LENG1
	RPS9
	TMC4
	CCDC125
	GABBR1
	PRPF31
	MBOAT7
	RILP
	AC243960.18
	TSEN34
	AC243960.15
	CEACAMP3
	DNAJC19P2
	CEACAM4
	PRPF8
	RPS9
	DNAJC19P3
	AC243960.13
	AC243960.16
	CEACAM7
	CFL1P5
	CHCHD2P2
	NDUFB9P1
	AK6
	LILRB3
	LILRA6
	KIR2DL1
	KIR3DP1
	KIR2DL4
	UBD
	OR2H5P
	TMEM183AP1
	SNORD32B
	RPL13AP
	TAF9
	OR2H2
	SUMO2P1
	CU457734.1
	MOG
	LILRA6
	AC012314.2
	CNOT3
	ZFP57
	ZDHHC20P1
	RAD17
	HLA-F
	SLC39A11
	AC240577.2
	KIR3DS1
	ZNF92P2
	AC073539.8
	UBD
	PCGF7P
	MTDHP5
	VN1R85P
	TLCD2
	OR2H5P
	LILRB5
	TMEM183AP1
	ZNF676
	SNORD32B
	LENG1
	RPL13AP
	OR2H2
	MIR22HG
	BNIP3P30
	SUMO2P1
	AC073539.11
	AC073539.10
	TMC4
	ZNF729
	BNIP3P31
	BX005428.8
	HLA-F-AS1
	KIR2DL5A
	MOG
	RPL23AP1
	MICE
	BX005428.1
	IFITM4P
	HLA-V
	UBD
	OR2H5P
	TMEM183AP1
	SNORD32B
	RPL13AP
	OR2H2
	HCG4
	SUMO2P1
	HLA-P
	KIR2DS3
	RPL7AP7
	CU151838.3
	MICG
	KIR2DS1
	MOG
	LILRA6
	KIR3DL2
	AGK
	HLA-G
	UBD
	OR2H5P
	TMEM183AP1
	SNORD32B
	RPL13AP
	WDR81
	OR2H2
	SUMO2P1
	MBOAT7
	AC004918.1
	DENND11
	UBD
	MOG
	OR2H5P
	TMEM183AP1
	SNORD32B
	RPL13AP
	OR2H2
	SUMO2P1
	WEE2-AS1
	U6
	CU457734.3
	MOG
	LILRB2
	U6
	FCAR
	WEE2
	U1
	ZFP57
	ZFP57
	LILRB5
	HCG4P8
	SSBP1
	BX247949.2
	HSP90AA4P
	BX284699.3
	HLA-H
	LINC01262
	HLA-T
	AF250324.4
	DDX39BP1
	ZDHHC20P1
	U1
	MCCD1P1
	FRG1-DT
	ZDHHC20P1
	HCG4B
	C22orf15
	HLA-K
	SERPINF2
	HLA-U
	LINC01596
	OR2H5P
	HLA-F
	HLA-F
	TSEN34
	HLA-A
	CHCHD10
	TMEM183AP1
	SNORD32B
	RPL13AP
	OR2H2
	SUMO2P1
	NCR1
	MMP11
	AC012314.10
	MOG
	RPS9
	CR759790.3
	MICE
	LILRB5
	CR788234.8
	SERPINF1
	CR788234.2
	LILRA3
	Y_RNA
	IFITM4P
	HLA-V
	AP000349.1
	HCG4
	HLA-P
	BX927250.2
	HLA-F-AS1
	SMARCB1
	RPL7AP7
	MICG
	U6
	CU151838.4
	RPL23AP1
	LILRA5
	MICE
	LILRB2
	BX927182.2
	HLA-G
	Y_RNA
	IFITM4P
	HLA-V
	HCG4
	VSTM1
	HLA-P
	RPL7AP7
	MICG
	LAIR1
	HLA-G
	TTYH1
	NLRP7
	ZFP57
	ANO4
	U6
	CU104682.1
	ZDHHC20P1
	LILRB2
	HLA-F
	SLC5A8
	ZFP57
	HLA-V
	DERL3
	U6
	HCG4
	AC079953.4
	HLA-P
	NLRP2
	RPL7AP7
	MICG
	AC012314.1
	MARVELD2
	HLA-G
	LILRB3
	TARM1
	OSCAR
	GP6
	ZFP57
	HCG4P8
	BX927141.9
	BX927141.7
	HLA-H
	HLA-T
	ZDHHC20P1
	DDX39BP1
	MCCD1P1
	HCG4B
	DDX11L8
	HLA-K
	HLA-U
	WASH8P
	RDH13
	HLA-F
	HCG4P8
	FAM138D
	CT009517.3
	CT009517.1
	IQSEC3
	HLA-H
	AP000350.15
	HLA-A
	HLA-T
	DDX39BP1
	MCCD1P1
	NDUFA3
	HLA-A
	RPS27P14
	AL844851.3
	TFPT
	AC145146.1
	LILRA3
	HLA-F-AS1
	Metazoa_SRP
	SLC2A11
	OCLN
	HCG4P8
	AC012314.5
	CR925767.7
	CT009496.1
	RPL23AP1
	MICE
	AC026369.8
	AC026369.6
	AL844851.7
	AC026369.1
	Y_RNA
	IFITM4P
	HLA-V
	AC026369.4
	HLA-A
	AC007406.3
	BX005091.3
	LILRA5
	HLA-W
	MAP3K14
	HCG4
	MICD
	CR759762.2
	HCG9
	5S_rRNA
	HLA-P
	AC003070.4
	HLA-W
	MICD
	DDX39BP2
	HCG9
	CNOT3
	MCCD1P2
	RPL7AP7
	U6
	MICG
	AC142525.4
	DDX39BP2
	ARHGAP27
	ZNRD1ASP
	MCCD1P2
	ZNRD1ASP
	HLA-G
	GTF2H2
	CU467002.2
	ZFP57
	CR753818.1
	HLA-F-AS1
	LENG8
	AC010492.4
	LILRA4
	AC010492.2
	ZDHHC20P1
	RPL23AP1
	LILRA6
	MICE
	CR753818.3
	Y_RNA
	IFITM4P
	LENG1
	HLA-F
	HLA-V
	BX005091.4
	TMC4
	HLA-J
